微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
IsLGfvzdK,"转发理由:#微博辟谣# #警方通报# 网民造谣“解放军进入武汉全面接管”被公安机关依法刑事拘留！  
原始用户: 平安武昌
转发内容: #警情通报# 网民发消息称“解放军进城全面接管”涉嫌编造虚假信息被依法刑事拘留        2月3日晚上，公安机关接到群众举报，有消息在网上流传，称：“周边部队开始集结，各连锁酒店全部被政府征用，如果10号疫情不好转，解放军进城全面接管， 每天的菜解放军按你家人口按需配给送你家里，封户。” 该消息很快在网上网下传播，有市民开始在超市大量购物。        武昌警方迅速开展调查，查明系李某（男，38岁）在网上发布该消息，并于4日将李某抓获。其交代所发布信息是自己编造。目前，李某因涉嫌犯罪被警方依法刑事拘留，案件正在进一步办理中。        当前正值抗击疫情关键时期，一些不法分子利用互联网编造传播与疫情相关的不实信息，散布谣言、制造恐慌。对此，公安机关将坚决依法严厉打击。 ",,无,无,FALSE,无,无,2020/2/5 11:11,微博 weibo.com,17,6,5,3
IsF8Y4zVl,"转发理由:#微博辟谣# 要相信科学，不要相信毫无逻辑的阴谋论！  
原始用户: 中科院之声
转发内容: 相关消息不实，详见  新冠病毒是人造？科学解释为何阴谋论错得离谱  新冠病毒基因组测序驳斥阴谋论，持续寻找病毒源头｜《科学》杂志 科普可见 冠状病毒“这一家子”，都是怎么回事？  查看详情  ",,无,无,FALSE,无,无,2020/2/4 18:33,无,19,10,6,1
IsDXP6gCP,"转发理由:#微博辟谣# #情况通报# 鼓楼医院本部有一名患者确诊，分部有两名医务人员（夫妻关系）确诊，但不要把两件事混为一谈！  
原始用户: 南京发布
转发内容: 关于网传“鼓楼医院呼吸科整体被隔离”的情况通报 关于网传“鼓楼医院呼吸科整体被隔离”的情况通报  ",,无,无,FALSE,无,无,2020/2/4 15:33,微博 weibo.com,7,4,2,1
IsDtXhCYA,"转发理由:#微博辟谣# #警方通报# 无锡江阴两网民编造“女子感染新冠肺炎后传染给十几个姘头”谣言信息被依法行政拘留！  
原始用户: 江阴警方
转发内容: 警方通报  原图 ",,无,http://wx4.sinaimg.cn/large/007YV3IHgy1gbk8aij3qwj30cm0pmq4q.jpg,FALSE,无,无,2020/2/4 14:19,微博 weibo.com,20,8,11,1
IsBLChqr1,#微博辟谣# #警方通报# 两网民造谣“南通建设应急医院，集中安置江苏新冠肺炎病例”，被公安机关依法查处！  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/005VzNEvgy1gbk4wsw9tjj30ty0riwhy.jpg,http://ww1.sinaimg.cn/large/005VzNEvgy1gbk4wst04uj30n00cvt9r.jpg,http://ww4.sinaimg.cn/large/005VzNEvgy1gbk4wuaz1cj30j60u2dm1.jpg",无,TRUE,无,无,2020/2/4 9:57,微博 weibo.com,60,13,32,1
IsvtG0HOH,"转发理由:#微博辟谣# #情况通报# 网传南通修建“应急医院”收治全省新冠肺炎患者消息不实！  
原始用户: 南通发布
转发内容: 【情况通报】今日网上传言在港闸区市六院新建应急医院一事，引起网民大量关注。真实情况是市疫情防控指挥部根据未来疫情防控形势作出的预案。利用原市第六人民医院传染科的医疗资源，在其医院空余地块扩建隔离病房，按照医院标准建设，不会对周边造成影响，其收治对象为本市病人，扩建后是否接收病人视疫情发展情况而定，为备用床位。这是市疫情防控指挥部为应对疫情发展，保护全市人民生命安全的重要决策，请广大市民要顾全大局，不信谣、不传谣，以自身实际行动支持疫情阻击战。南通市新型冠状病毒感染的肺炎疫情防控指挥部2020年2月3日 ",,无,无,FALSE,无,无,2020/2/3 17:56,无,35,5,16,1
IrjQd32hF,"转发理由:#微博辟谣# #警方通报# 一网民造谣“南京交通停运、全面封城”被刑事拘留！  
原始用户: 平安南京
转发内容: #警方通报#  原图 ",,无,http://wx2.sinaimg.cn/large/75985641gy1gbabrlt2v1j20u01soqh9.jpg,FALSE,无,无,2020/1/26 22:29,无,42,28,14,1
IrjdHdbmC,#微博辟谣# 谣言成“真”，不让大家白等！  原图 ,,http://wx2.sinaimg.cn/large/005VzNEvgy1gba9b6isj3j30u00wgtbt.jpg,无,TRUE,无,无,2020/1/26 20:54,无,54,5,15,1
IriNkf5kc,"转发理由:#微博辟谣# 这其实是前几天节目的预告，节目已经播出，请大家不要误传  
原始用户: 紧急呼叫
转发内容: 【#今晚没有新闻1+1#】有消息称，今晚9时30分，央视新闻频道(13频道)，白岩松主持《新型冠状病毒肺炎》专题现场直播，钟南山院士介绍疫情。对此，记者求证节目组工作人员，对方回复：谣言。  [组图共2张] 原图 ",,无,"http://ww3.sinaimg.cn/large/744bc6a6ly1gba72z5fyvj20mf0vvzmx.jpg,http://ww2.sinaimg.cn/large/744bc6a6ly1gba72z75xhj20m40vmn16.jpg",FALSE,无,无,2020/1/26 19:49,无,40,11,14,1
IrijS3JpG,"转发理由:#微博辟谣# 南京封城是谣言，别再传了！  
原始用户: 南京发布
转发内容: #微博辟谣#朋友圈刷屏的这张图，假消息！  原图 ",,无,http://wx3.sinaimg.cn/large/7cfe0d62ly1gba2l6r319j20fm0rpgpw.jpg,FALSE,无,无,2020/1/26 18:36,无,47,11,16,1
IrazDq1jo,#万众一心抗击新冠肺炎##微博辟谣# 关键时刻，更应耳清目明！支持武汉，从不轻信谣言开始！[加油][加油][加油]  原图 ,,http://wx3.sinaimg.cn/large/005VzNEvly1gb973z610gj30u01hcq9b.jpg,无,TRUE,无,无,2020/1/25 22:53,无,586,49,76,1
IqEvc2jjs,"转发理由:#微博辟谣# 别人在前线战斗，竟有人在背后捅刀！  
原始用户: 健康武汉官微
转发内容: 【辟谣！】网传关于我委干部相关信息为不实信息       网传关于武汉市卫生健康委副主任刘庆香同志相关信息严重不实。刘庆香副主任今年55岁，自去年12月底以来，一直坚守在武汉市新型冠状病毒感染的肺炎防控一线；她没有女儿，只有一子在汉工作；她和爱人都不是医生，爱人因患癌症医治无效已于去年在汉去世。网上消息为不实谣言，请广大网友不信谣、不传谣。 ",,无,无,FALSE,无,无,2020/1/22 13:14,无,39,13,21,3
IqoIUF8U9,"转发理由:#情况通报# #微博辟谣# 截至目前，南京暂未发现新型冠状病毒感染肺炎疑似病例，请广大网友不要造谣传谣，及时关注官方通报情况！  
原始用户: 南京发布
转发内容: 南京积极防控新型冠状病毒感染肺炎。 南京积极防控新型冠状病毒感染肺炎  ",,无,无,FALSE,无,无,2020/1/20 21:04,无,42,15,11,1
Iqbz5yhTs,#微博辟谣# #武汉病毒性肺炎5大谣言#↓↓↓@疾控科普  原图 ,,http://wx3.sinaimg.cn/large/005VzNEvgy1gb1pt1g643j30c83xb4ch.jpg,无,TRUE,无,无,2020/1/19 11:34,微博 weibo.com,24,9,8,1
Iq1QQAjGh,"转发理由:#微博辟谣# 任何中国公民都享有宪法和法律规定的权利，目前我国大陆地区并无针对同性恋群体的法律政策，图片内容纯属捏造  
原始用户: 小郭同学很暴躁
转发内容: 有传闻同性恋合法，请求证？如果合法具体是哪个文件规定，如果是谣言请立即辟谣@江苏网警  原图 ",,无,http://wx1.sinaimg.cn/large/007dST5Ugy1gb0dsvaj83j30gm0jygmu.jpg,FALSE,无,无,2020/1/18 10:51,无,65,14,16,1
